;genres;app_name;release_date;tags;specs;price;id;developer
223;['Action'];Call of Juarez®: Bound in Blood;2009-06-30;['Western', 'Action', 'FPS', 'Singleplayer', 'Adventure', 'Shooter', 'Multiplayer', 'First-Person', 'Open World', 'Story Rich', 'Historical', 'Atmospheric', 'Bullet Time', 'Great Soundtrack'];['Single-player'];9.99;21980;Techland
225;['Adventure'];Nancy Drew®: The Creature of Kapu Cave;2006-10-01;['Adventure', 'Female Protagonist', 'Point & Click', 'Mystery', 'Puzzle'];['Single-player'];6.99;31900;HeR Interactive
226;['Adventure'];Nancy Drew®: The Phantom of Venice;2008-07-01;['Adventure', 'Point & Click', 'Puzzle', 'Mystery', 'Female Protagonist', 'Detective'];['Single-player'];6.99;31920;HeR Interactive
227;['Adventure'];Nancy Drew®: The White Wolf of Icicle Creek;2007-07-01;['Adventure', 'Point & Click', 'Mystery', 'Female Protagonist', 'Puzzle', 'Detective'];['Single-player'];6.99;31930;HeR Interactive
231;['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy'];Thrillville®: Off the Rails™;2007-10-09;['Simulation', 'Action', 'Strategy', 'Adventure', 'Racing', 'Management', 'Singleplayer'];['Single-player', 'Local Multi-Player', 'Co-op', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Steam Cloud'];9.99;6080;Frontier
253;['Adventure', 'RPG'];STAR WARS™ - Knights of the Old Republic™;2003-11-19;['RPG', 'Star Wars', 'Sci-fi', 'Story Rich', 'Singleplayer', 'Classic', 'Party-Based RPG', 'Adventure', 'Real-Time with Pause', 'Third Person', 'Action', 'Choices Matter', 'Exploration', 'Fantasy', 'Atmospheric', 'Turn-Based', 'Space', 'Moddable', 'Great Soundtrack', 'Female Protagonist'];['Single-player', 'Steam Cloud'];9.99;32370;BioWare,Aspyr (Mac)
257;['Action'];Kingpin — Life of Crime;1999-06-01;"['Action', 'FPS', 'Singleplayer', 'Crime', 'Classic', 'Gore', 'Multiplayer', 'First-Person', 'Violent', 'Shooter', ""1990's""]";['Single-player', 'Multi-player'];9.99;38430;Xatrix Entertainment
260;['Casual'];Mahjong Quest Collection;2009-08-24;['Casual', 'Puzzle'];['Single-player'];9.99;38000;iWin
264;['Simulation'];World of Zoo;2009-10-30;['Simulation', 'Family Friendly'];['Single-player'];14.99;43100;Blue Fang
268;['Adventure', 'Casual'];Midnight Mysteries;2009-09-28;['Adventure', 'Casual', 'Hidden Object', 'Puzzle', 'Point & Click'];['Single-player'];9.99;32140;MumboJumbo
277;['Adventure', 'Indie'];Machinarium;2009-10-16;['Point & Click', 'Adventure', 'Puzzle', 'Indie', 'Great Soundtrack', 'Steampunk', 'Singleplayer', 'Atmospheric', 'Robots', 'Hand-drawn', '2D', 'Stylized', 'Casual', 'Cute', 'Story Rich', 'Classic', 'Touch-Friendly', 'Hidden Object', 'Difficult', 'Sci-fi'];['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards'];9.99;40700;Amanita Design
278;['Action'];Medal of Honor: Airborne;2007-09-04;['Action', 'World War II', 'FPS', 'Multiplayer', 'Shooter', 'War', 'Singleplayer', 'Military', 'First-Person', 'Historical', 'Atmospheric', 'Classic', 'Open World'];['Single-player', 'Multi-player'];9.99;24840;EA Los Angeles
279;['Racing'];Need for Speed: Shift;2009-09-15;['Racing', 'Simulation', 'Multiplayer', 'Driving', 'Arcade', 'Action', 'Open World', 'Controller'];['Single-player', 'Multi-player'];19.99;24870;Slightly Mad Studios
289;['Strategy'];Men of War: Red Tide;2009-11-01;['Strategy', 'World War II', 'RTS', 'Historical', 'War'];['Single-player', 'Steam Cloud'];4.99;3130;1C Company
297;['Action', 'RPG', 'Indie'];Aztaka;2009-05-07;['RPG', 'Action', 'Indie', 'Metroidvania', 'Platformer', 'Singleplayer', 'Side Scroller', '2D', 'Mythology'];['Single-player'];4.99;37100;Citeremis Inc.
304;['Strategy'];Command & Conquer 3: Tiberium Wars;2007-03-28;['Strategy', 'RTS', 'Base Building', 'Sci-fi', 'Multiplayer', 'Singleplayer', 'Action', 'FMV', 'Atmospheric'];['Single-player'];14.99;24790;EA Los Angeles
308;['Simulation'];Wings of Prey;2009-12-25;['Simulation', 'Flight', 'World War II', 'Historical', 'Multiplayer', 'TrackIR', 'Action', 'Singleplayer'];['Single-player', 'Steam Achievements', 'Partial Controller Support'];9.99;45300;Gaijin Entertainment
317;['Casual', 'Simulation'];Coconut Queen;2009-12-17;['Casual', 'Simulation'];['Single-player'];9.99;38070;iWin
320;['Action', 'Indie', 'RPG'];Avencast: Rise of the Mage;2010-03-17;['RPG', 'Action', 'Action RPG', 'Fantasy', 'Indie', 'Magic', 'Adventure', 'Singleplayer', 'Hack and Slash', 'Story Rich', 'Atmospheric'];['Single-player'];9.99;46410;ClockStone Studios
330;['Adventure', 'Casual'];Iron Roses;2010-02-16;['Adventure', 'Casual'];['Single-player'];6.99;36320;Cateia Games
335;['Action'];NecroVisioN: Lost Company;2010-02-19;['Action', 'FPS', 'Zombies', 'World War I', 'Horror'];['Single-player', 'Multi-player', 'Steam Cloud', 'Includes level editor'];6.99;46250;The Farm 51
339;['Simulation'];Train Simulator: Fort Kent to Eagle Lake Route Add-On;2010-03-19;['Simulation'];['Single-player', 'Downloadable Content'];19.99;24055;All Aboard
347;['Action', 'Casual', 'Indie'];Beat Hazard;2010-04-15;"['Music', 'Indie', ""Shoot 'Em Up"", 'Action', 'Music-Based Procedural Generation', 'Twin Stick Shooter', 'Rhythm', 'Casual', 'Colorful', 'Co-op', 'Shooter', 'Multiplayer', 'Bullet Hell', 'Singleplayer', 'Arcade', 'Local Co-Op', 'Space', 'Replay Value', 'Great Soundtrack', '2D']";['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards'];9.99;49600;Cold Beam Games
355;['Casual'];Hidden Expedition: Titanic;2006-07-19;['Casual', 'Hidden Object'];['Single-player', 'Multi-player'];9.99;50940;Big Fish Games
358;['Casual'];Fitness Dash™;2008-12-31;['Casual'];['Single-player'];6.99;37340;Sarbakan
380;['Action'];VectorMan™;2010-06-01;['Action', 'Platformer', 'Classic', '2D'];['Single-player', 'Partial Controller Support'];2.99;34280;SEGA
385;['RPG'];Fallout 3 - Point Lookout;2010-07-16;['RPG', 'Post-apocalyptic'];['Single-player', 'Downloadable Content', 'Partial Controller Support'];4.99;22440;Bethesda Game Studios
393;['Strategy', 'RPG'];Disciples III - Renaissance Steam Special Edition;2010-07-16;['Strategy', 'RPG', 'Turn-Based', 'Turn-Based Strategy', 'Fantasy'];['Single-player', 'Multi-player', 'Steam Achievements'];14.99;33670;Akella,.dat
399;['Simulation', 'Strategy'];The Guild II Renaissance;2010-07-28;['Strategy', 'Simulation', 'Economy', 'Medieval', 'RPG', 'Politics', 'Trading', 'City Builder', 'Sandbox', 'Management', 'Singleplayer', 'Multiplayer', 'Resource Management', 'Open World', 'Historical'];['Single-player'];9.99;39680;Rune Forge
401;['Simulation'];Trainz Simulator DLC: Blue Comet;2010-08-06;['Simulation'];['Single-player', 'Downloadable Content'];19.99;24634;N3V Games
403;['Action'];Mafia II;2011-03-22;['Action', 'Open World', 'Crime', 'Story Rich', 'Atmospheric', 'Singleplayer', 'Third Person', 'Third-Person Shooter', 'Shooter', 'Great Soundtrack', 'Adventure', 'America', 'Driving', 'Music', 'Classic', 'Nudity', 'Multiplayer', 'Sandbox', '3D Vision', 'RPG'];['Single-player', 'Steam Achievements', 'Partial Controller Support'];29.99;50130;2K Czech,Feral Interactive (Mac)
406;['Action'];Burn Zombie Burn!;2010-08-12;['Action', 'Zombies'];['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards'];9.99;50510;doublesix
415;['Action', 'Simulation', 'Strategy'];Arma 2: British Armed Forces;2010-08-27;['Simulation', 'Action', 'Strategy', 'FPS', 'Tactical', 'Realistic', 'Military', 'Sandbox'];['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content', 'Partial Controller Support'];8.99;65700;Bohemia Interactive
427;['Action', 'Indie'];VVVVVV;2010-09-07;['Platformer', 'Indie', 'Great Soundtrack', 'Difficult', 'Retro', '2D', 'Singleplayer', 'Pixel Graphics', 'Exploration', 'Action', 'Sci-fi', 'Adventure', 'Short', 'Metroidvania', 'Puzzle', 'Minimalist', 'Open World', 'Space', 'Classic', 'Casual'];['Single-player', 'Full controller support'];4.99;70300;Terry Cavanagh
429;['Action', 'Adventure', 'Indie'];Amnesia: The Dark Descent;2010-09-08;['Horror', 'First-Person', 'Atmospheric', 'Survival Horror', 'Indie', 'Adventure', 'Dark', 'Singleplayer', 'Stealth', 'Puzzle', 'Survival', 'Psychological Horror', 'Gothic', 'Action', 'Story Rich', 'Exploration', 'Great Soundtrack', 'Lovecraftian', 'Classic', 'Moddable'];['Single-player', 'Full controller support', 'Captions available', 'Commentary available'];19.99;57300;Frictional Games
437;['Strategy'];Patrician IV - Steam Special Edition;2010-09-17;['Strategy', 'Trading', 'Resource Management', 'Simulation', 'Economy', 'Capitalism', 'Singleplayer', 'Historical'];['Single-player'];14.99;57620;Gaming Minds Studios
443;['Action', 'Indie'];Serious Sam Classic: The Second Encounter;2002-02-05;['Action', 'FPS', 'Classic', 'Indie', 'Co-op', 'Shooter', 'First-Person', 'Comedy', 'Great Soundtrack', 'Multiplayer', 'Singleplayer', 'Gore', 'Sci-fi', 'Split Screen', 'Adventure', 'Local Co-Op'];['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Includes level editor'];9.99;41060;Croteam
446;['Action'];Alien Breed 2: Assault;2010-09-22;['Action', 'Shooter', 'Isometric', 'Third Person', 'Sci-fi', 'Aliens', 'Singleplayer', 'Co-op', 'Top-Down', 'Twin Stick Shooter', 'Top-Down Shooter', 'Horror'];['Single-player', 'Co-op', 'Steam Achievements', 'Partial Controller Support', 'Stats', 'Steam Leaderboards'];9.99;22650;Team17 Digital Ltd
459;['Action', 'Adventure'];Lost Planet® 2;2010-10-15;['Action', 'Co-op', 'Mechs', 'Third-Person Shooter', 'Adventure', 'Sci-fi', 'Cult Classic', 'Multiplayer', 'Online Co-Op', 'Shooter', 'Third Person', 'Character Customization', 'Singleplayer', 'Aliens'];['Single-player', 'Multi-player', 'Co-op', 'Partial Controller Support'];19.99;45750;CAPCOM CO., LTD.
464;['Indie', 'Racing'];Nimbus;2010-10-25;['Indie', 'Racing', 'Puzzle', 'Physics', 'Difficult', 'Time Attack'];['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards'];9.99;50000;Noumenon Games
470;['Action'];Golden Axe™ II;2010-10-26;"['Action', ""Beat 'em up"", '2D', 'Classic']";['Single-player', 'Shared/Split Screen', 'Partial Controller Support'];2.99;71112;SEGA
476;['Action', 'Adventure', 'Indie'];The Ball;2010-10-26;['Puzzle', 'Action', 'Indie', 'Adventure', 'First-Person', 'Physics', 'Singleplayer', 'FPS', 'Horror'];['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Stats', 'Steam Leaderboards'];9.99;35460;Teotl Studios
491;['Action'];Call of Duty®: Black Ops;2010-11-09;['Action', 'FPS', 'Zombies', 'Multiplayer', 'Shooter', 'Cold War', 'Singleplayer', 'First-Person', 'War', 'Military', 'Online Co-Op', 'Co-op', 'Adventure', 'Gore', 'Story Rich', 'Controller', 'Linear', 'Massively Multiplayer', 'Horror', 'Point & Click'];['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Partial Controller Support', 'Valve Anti-Cheat enabled'];39.99;42700;Treyarch
492;['Indie', 'Casual'];Rhythm Zone Tornado Visualizer DLC;2010-11-09;['Indie', 'Casual'];['Single-player', 'Multi-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Stats', 'Steam Leaderboards'];0.99;38923;Sonic Boom Games
496;['Casual', 'Indie'];Clickr;2010-12-23;['Indie', 'Puzzle', 'Casual', 'Multiplayer', 'Fast-Paced', 'Clicker'];['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Steam Leaderboards'];4.99;45500;Ntreev Soft Co., Ltd.
500;['Action', 'Adventure'];Lara Croft GoL: Raziel and Kain Character Pack;2011-01-07;['Action', 'Adventure'];['Downloadable Content'];3.49;35135;Crystal Dynamics Inc.
501;['Action', 'Adventure'];Lara Croft GoL: Things that Go Boom - Challenge Pack 2;2011-01-07;['Action', 'Adventure'];['Downloadable Content'];3.49;35137;Crystal Dynamics Inc.
503;['Action', 'Adventure'];Lara Croft GoL: All the Trappings - Challenge Pack 1;2011-01-07;['Action', 'Adventure'];['Downloadable Content'];3.49;35136;Crystal Dynamics Inc.
510;['Adventure'];Kaptain Brawe: A Brawe New World;2011-01-20;['Adventure', 'Point & Click', 'Sci-fi', 'Comedy'];['Single-player'];4.99;65080;Cateia Games
513;['Action'];Alien Soldier;2011-01-26;['Action', 'Platformer', 'Retro', '2D', 'Difficult'];['Single-player', 'Partial Controller Support'];2.99;71116;SEGA
521;['Action'];Streets of Rage;2011-01-26;"['Action', ""Beat 'em up"", 'Classic', 'Arcade', '2D', 'Great Soundtrack', 'Retro', 'Local Co-Op']";['Single-player', 'Shared/Split Screen', 'Partial Controller Support'];2.99;71164;SEGA
525;['Simulation'];Ship Simulator Extremes: Sigita Pack;2011-01-26;['Simulation'];['Single-player', 'Multi-player', 'Downloadable Content'];3.99;48802;VStep
530;['Simulation'];The Sims™ 3 High-End Loft Stuff;2010-02-02;['Simulation'];['Single-player', 'Downloadable Content'];19.99;47895;The Sims Studio
546;['Casual', 'Strategy'];Crazy Machines 2: Time Travel Add-On;2011-03-11;['Strategy', 'Casual'];['Single-player', 'Downloadable Content'];4.99;18408;Fakt Software
551;['Strategy'];Warhammer 40,000: Dawn of War II - Retribution Ork Race Pack;2011-02-28;['Strategy'];['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content', 'Steam Cloud', 'Stats', 'Steam Leaderboards'];0.99;56435;Relic Entertainment,Feral Interactive (Mac/Linux)
555;['Free to Play', 'Massively Multiplayer', 'RPG'];RIFT;2013-10-24;['Free to Play', 'MMORPG', 'Massively Multiplayer', 'RPG', 'Fantasy', 'Multiplayer', 'Open World', 'Adventure', 'Action', 'Co-op', 'Character Customization', 'Online Co-Op', 'PvP', 'Magic', 'Survival', 'Singleplayer', 'Crafting', 'Strategy', 'First-Person', 'FPS'];['Multi-player', 'Online Multi-Player', 'MMO', 'Co-op', 'Online Co-op', 'Steam Trading Cards', 'In-App Purchases'];0.0;39120;Trion Worlds
563;['Racing'];STCC The Game 2 – Expansion Pack for RACE 07;2011-04-08;['Racing', 'Simulation'];['Single-player', 'Multi-player', 'Downloadable Content'];3.99;44620;SimBin
572;['Action', 'Casual', 'Indie', 'Strategy'];Sanctum;2011-04-15;['Tower Defense', 'Strategy', 'FPS', 'Action', 'Co-op', 'Indie', 'Sci-fi', 'First-Person', 'Multiplayer', 'Online Co-Op', 'Female Protagonist', 'Shooter', 'Singleplayer', 'Casual', 'Great Soundtrack', 'Futuristic', 'Adventure', 'Tactical', 'Survival', 'Open World'];['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards'];9.99;91600;Coffee Stain Studios
574;['Strategy'];Warhammer 40,000: Dawn of War II - Retribution - Mekboy Wargear DLC;2011-05-26;['Strategy'];['Co-op', 'Downloadable Content'];2.99;56482;Relic Entertainment,Feral Interactive (Mac/Linux)
579;['Adventure', 'Indie', 'RPG'];Winter Voices Episode 4: Amethyst Rivers;2011-05-27;['Adventure', 'RPG', 'Indie'];['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards'];4.99;72905;inner seas
595;['Strategy'];Two Worlds II Castle Defense;2011-06-14;['Strategy', 'Tower Defense', 'Fantasy'];['Single-player'];9.99;7530;Reality Pump Studios
598;['Indie', 'Casual'];Ancients of Ooga;2011-05-20;['Indie', 'Casual', 'Platformer', 'Puzzle'];['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats'];9.99;91810;Bacon Wrapped Games
600;['Strategy', 'Indie'];Frozen Synapse: Soundtrack;2011-06-16;['Strategy', 'Indie'];['Downloadable Content'];5.99;98210;Mode 7
607;['Action', 'RPG'];Magicka: Frozen Lake;2011-06-21;['Action', 'RPG'];['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Downloadable Content'];1.99;73037;Arrowhead Game Studios
609;['Simulation'];Trainz Simulator DLC: The Duchess;2011-06-22;['Simulation'];['Single-player', 'Downloadable Content'];19.99;24635;N3V Games
613;['Racing'];RETRO – Expansion Pack for RACE 07;2011-06-23;['Racing', 'Simulation'];['Single-player', 'Multi-player', 'Downloadable Content'];3.99;44660;SimBin
618;['Strategy'];Worms Reloaded: Retro Pack;2011-06-30;['Strategy'];['Single-player', 'Multi-player', 'Downloadable Content', 'Partial Controller Support'];4.99;22634;Team17 Digital Ltd
622;['Adventure', 'Casual'];Puzzle Agent 2;2011-06-30;['Puzzle', 'Adventure', 'Point & Click', 'Casual', 'Detective', 'Comedy', 'Mystery', 'Singleplayer', 'Surreal', 'Funny', 'Conspiracy', 'Short', 'Touch-Friendly'];['Single-player', 'Steam Achievements'];9.99;94590;Telltale Games
628;['Indie', 'Casual'];Lucid;2011-07-19;['Casual', 'Indie', 'Puzzle', 'Match 3'];['Single-player', 'Steam Achievements'];4.99;61100;YeaBoing
629;['Simulation'];Train Simulator: BR Class 421 '4CIG' Loco;2011-07-19;['Simulation'];['Single-player', 'Downloadable Content'];8.99;65228;Dovetail Games
632;['Strategy'];Men of War: Assault Squad - Skirmish Pack;2011-07-21;['Strategy'];['Single-player', 'Co-op', 'Downloadable Content', 'Steam Achievements'];1.99;64013;Digitalmindsoft
633;['Action', 'Indie'];Aaaaa! - Brutal Concussion;2011-07-22;['Action', 'Indie'];['Single-player', 'Downloadable Content'];1.99;15522;Dejobaan Games, LLC
634;['Adventure', 'Strategy', 'RPG', 'Indie'];Delve Deeper: Treasures and Tunnels;2011-07-22;['Strategy', 'Adventure', 'RPG', 'Indie'];['Single-player', 'Multi-player', 'Downloadable Content', 'Partial Controller Support'];0.99;63802;Lunar Giant
641;['Adventure'];Nancy Drew®: The Captive Curse;2011-06-28;['Adventure', 'Point & Click', 'Mystery', 'Female Protagonist', 'Puzzle'];['Single-player'];6.99;42220;HeR Interactive
642;['Adventure'];Nancy Drew®: Trail of the Twister;2010-06-29;['Adventure', 'Point & Click', 'Female Protagonist', 'Mystery', 'Puzzle'];['Single-player'];6.99;42230;HeR Interactive
645;['Action', 'Indie'];EDGE;2011-08-11;['Puzzle', 'Indie', 'Action', 'Platformer', 'Great Soundtrack', 'Singleplayer', 'Isometric', 'Abstract', 'Casual', 'Time Attack', 'Retro'];['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards'];6.99;38740;Two Tribes
647;['Strategy'];Civilization V - Scenario Pack: Wonders of the Ancient World;2011-08-11;['Strategy'];['Single-player', 'Multi-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud'];4.99;99614;Firaxis Games,Aspyr (Mac, Linux)
656;['Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'Strategy'];Puzzle Pirates;2011-08-31;['Free to Play', 'Massively Multiplayer', 'Puzzle', 'Casual', 'Pirates', 'Adventure', 'Strategy', 'Multiplayer', 'Co-op', '2D'];['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Steam Achievements'];0.0;99910;Three Rings
658;['Action'];Warhammer 40,000: Space Marine;2011-09-05;['Warhammer 40K', 'Action', 'Third-Person Shooter', 'Sci-fi', 'Third Person', 'Multiplayer', 'Gore', 'Singleplayer', 'Shooter', 'Hack and Slash', 'Dystopian', 'Adventure', 'Co-op', 'Games Workshop', 'Atmospheric', 'Story Rich', 'Online Co-Op', 'Controller', 'Futuristic', 'Great Soundtrack'];['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards'];29.99;55150;Relic
