;funny;posted;item_id;recommend;user_id;sentiment_analysis
1267;;01/12/2013;22380;True;76561197996741396;2
1270;;15/04/2015;440;True;calii;2
1273;;29/11/2013;49600;True;calypto52;2
1274;;;408740;False;camduman;1
1295;;08/02/2014;49520;True;76561197992910116;2
1296;;10/12/2013;238430;True;76561197992910116;2
1310;;21/02/2015;239140;True;ConkerBirdy;2
1312;;05/08/2015;105600;True;76561198078194423;2
1313;;20/06/2014;4000;True;76561198067657905;2
1327;;22/02/2014;109400;True;carouserwhite;2
1337;;;232810;False;76561198045283919;1
1339;2 people found this review funny;;394360;False;76561198045283919;0
1341;;02/06/2014;31280;False;76561198081438874;1
1342;1 person found this review funny;18/01/2015;17480;True;76561198072411281;2
1345;;31/01/2014;105600;True;76561198072411281;2
1356;;25/04/2014;570;True;ElementalGodChaos;2
1358;;19/10/2015;440;False;ElementalGodChaos;2
1360;;19/12/2015;249650;True;76561197971917242;2
1363;;25/12/2013;105600;True;76561198048491595;2
1364;;16/01/2015;730;True;76561198074108172;2
1370;;08/10/2015;227940;False;IchMasKung;1
1378;;;389570;True;HoxtonPleaseDontSueMe;2
1381;;26/03/2014;8870;True;76561198051215704;1
1387;;25/02/2013;440;True;cheetahpocalypse;2
1388;2 people found this review funny;22/12/2015;393420;True;Axzothrift;0
1417;;;365590;False;76561197981448997;0
1443;;;72850;True;ciborg2000;2
1450;2 people found this review funny;;364360;True;Norf_Norf;2
1455;1 person found this review funny;;35450;True;Norf_Norf;1
1458;1 person found this review funny;27/11/2014;4000;True;Norf_Norf;2
1461;;21/12/2013;4000;True;76561198041840982;1
1463;;02/10/2015;292030;True;76561198056339034;2
1481;;;238460;True;kelby003;2
1483;;19/04/2014;105600;True;Clawz3z;2
1485;;10/12/2013;440;True;76561198071207551;1
1490;;28/06/2014;4000;True;76561198071207551;1
1493;;05/02/2014;208090;True;76561198061039259;2
1507;;10/07/2015;440;False;69bmw;0
1512;;22/12/2013;218620;True;iamshingo;2
1514;;07/06/2015;41700;True;SirParadiseLost;2
1517;;07/02/2013;440;True;Rafantasma;2
1526;;23/12/2015;8930;True;76561198061456632;0
1541;;25/10/2015;353690;True;76561198046958203;1
1543;;07/02/2014;208090;True;76561198046958203;2
1546;;21/01/2015;202970;False;UnseenEvangelist;1
1551;;30/10/2015;4000;True;76561198172099661;2
1555;;30/10/2014;209160;True;ConjuredMadness;2
1561;;18/04/2014;255480;True;ndrss;0
1562;;26/11/2013;11610;True;ndrss;2
1565;;21/06/2015;22380;True;76561198081677554;1
1567;3 people found this review funny;14/04/2015;271590;True;Gamercubeeyes;2
1572;;15/09/2014;12110;True;Cosmonaut123456789;1
1579;;19/12/2015;4000;False;76561198107928649;1
1587;;25/11/2014;330830;True;76561198071955492;2
1589;3 people found this review funny;30/04/2015;2600;True;76561198071955492;1
1599;;25/01/2014;221100;True;bruhbruhxd;2
1603;;10/12/2014;230410;True;Crazymac123;1
1610;3 people found this review funny;;33930;True;CrimsonStormFTW;2
1619;;23/02/2014;250600;True;76561198067214601;2
1622;;;251570;True;76561198017913139;1
1626;1 person found this review funny;17/10/2015;218620;False;SSAANNEESS;1
1628;;;230410;True;SSAANNEESS;2
1629;;;227280;True;SSAANNEESS;0
1637;;23/02/2015;22120;True;76561198107811819;0
1646;;;251570;True;76561198042921883;2
1651;;25/02/2014;8930;True;76561198084976671;2
1659;1 person found this review funny;24/04/2015;570;True;76561197996190797;2
1663;1 person found this review funny;08/04/2015;332350;True;76561198082559637;2
1677;;06/04/2015;57690;True;76561198074763789;2
1684;;30/09/2015;730;True;DaftyTM;1
1691;;01/10/2015;113020;True;76561198070775610;1
1696;;08/03/2014;241600;True;misterross;2
1700;;21/06/2013;440;True;mainkradxdxdx;1
1702;;;440;True;76561198101576470;1
1705;;29/11/2013;4000;True;76561198101576470;2
1711;;31/07/2014;301520;False;76561198079220364;0
1724;;18/12/2014;730;True;76561198044594262;1
1745;;20/02/2014;252490;True;76561198082545803;2
1749;;04/06/2014;57690;True;76561198046045640;2
1752;;16/12/2012;4560;True;76561198046045640;2
1753;;;570;True;76561198195091390;1
1758;;25/07/2014;278080;True;76561198008827809;0
1760;;08/05/2013;105600;True;76561198008827809;2
1762;;;374320;True;76561198039605834;2
1766;;24/02/2014;4000;True;Yugm;1
1775;;02/12/2015;287390;True;shay181;2
1776;;06/10/2015;304930;True;shay181;2
1777;;26/12/2013;6060;True;degen97;1
1781;;19/08/2015;204180;True;deltalink21;2
1785;;15/12/2014;224420;False;Qzt;0
1792;;10/02/2014;224540;False;76561198052661205;1
1815;;19/01/2015;241930;True;meeman;2
1816;;26/07/2014;228940;True;fuzzygrilz;2
1820;;15/12/2013;730;True;76561198086282677;0
1835;;23/09/2015;239140;True;76561198032293266;2
1850;;01/05/2015;204100;True;Devmabby;2
1852;;30/06/2014;206190;True;Devmabby;1
1856;;22/06/2015;72840;True;76561197971532272;2
1870;;14/10/2014;274190;True;digfernandes;1
1875;;28/09/2015;570;True;ohplsguuby;1
1878;;08/06/2015;730;True;ohplsguuby;1
1880;;08/03/2015;233720;True;ohplsguuby;1
1882;;15/11/2015;265930;False;ohplsguuby;0
1888;;24/12/2014;278080;True;NathanielPeace;1
1900;;17/10/2014;238460;True;ShrikeShrikeShrikeShrikeShrike;1
1902;;26/01/2014;210770;True;efefuyg3g4u5u22u4yv;2
1921;;30/06/2014;730;True;76561198049760472;2
1929;;;304050;False;76561198120646995;2
1947;1 person found this review funny;17/01/2015;221100;True;DropBear99;2
1954;;18/03/2015;440;True;thecosplayermotherfucker;2
1957;;10/10/2014;244850;True;123repulseMe;2
1961;;14/12/2015;206190;True;76561197969800840;2
1967;;01/10/2013;72850;True;Cab117;1
1974;2 people found this review funny;;225600;True;DrVendax;1
1975;;28/01/2015;107900;False;76561198090773476;2
1979;;;222940;True;Dragoten;2
1980;;25/11/2014;570;True;thedragon347;1
1989;;;730;True;DrMolo;1
2026;;17/01/2014;212180;False;76561198066955730;0
2029;;02/10/2013;440;True;76561198066955730;2
2033;;13/04/2014;243870;True;Dysloyal;1
2036;;;330210;False;76561198008263039;0
2061;;23/02/2015;221380;True;JZargo4Pres;1
2064;1 person found this review funny;27/09/2015;200260;True;XavvPlays;0
2072;;03/01/2014;200210;True;ELCHUZZY69;0
2075;;28/11/2013;230410;True;Clarkos;1
2084;;08/08/2014;227940;True;eljefe2171;2
2090;1 person found this review funny;09/10/2014;215530;True;pon2543007;1
2098;;;463390;True;en-esta-partecita-esta-zacler;2
2108;;07/11/2014;33930;True;PurpleGenius;2
2116;;15/04/2014;440;True;76561198097219763;1
2118;3 people found this review funny;13/06/2015;8930;True;76561198170217862;1
2127;;06/08/2014;301520;True;compuguy123;2
2130;;24/08/2015;35450;True;compuguy123;2
2133;;18/07/2014;238460;True;76561198041889877;2
2138;;;435030;True;76561198014848587;2
2144;1 person found this review funny;26/05/2014;222880;True;76561197995939652;2
2158;;;286160;True;76561198065247694;0
2167;;30/10/2014;206210;True;76561198065247694;2
2170;;14/06/2015;252490;False;76561198094506909;0
2173;1 person found this review funny;11/10/2015;249870;True;Letachal;2
2174;1 person found this review funny;21/09/2015;363970;True;Letachal;2
2191;;06/07/2014;48700;True;rockethaul;2
2198;;11/12/2012;440;True;76561198047208774;0
2210;;19/09/2015;730;True;bigprenis;0
2214;;16/04/2014;222880;True;dahaydos;2
2219;;13/12/2013;440;True;dahaydos;1
2222;;01/12/2014;105600;True;matt20131;1
2225;;;105600;True;76561198028357316;2
2228;;;391540;True;Mrawes0m3;1
2236;1 person found this review funny;;1840;True;izumireina;2
2239;;08/02/2015;227940;False;Fetolino;1
2245;;08/05/2014;226980;True;76561197960425229;2
2247;;11/11/2014;440;True;76561198057473311;0
2255;;19/09/2015;222880;True;76561198075229095;1
2261;;06/04/2014;570;True;modtech;2
2262;;;273350;True;modtech;2
2270;;;394690;True;BajanCanidian;1
2275;;26/07/2014;49520;True;Fluphy_;2
2276;;05/12/2014;105600;True;Fluphy_;1
2286;;24/06/2014;206210;True;Anthonybasso;2
2288;;29/07/2015;219740;True;76561198124526584;2
2303;;12/05/2015;275700;True;Frankaloons;2
2304;;12/11/2014;8190;True;jach5270;2
2316;;06/03/2015;440;True;76561198066916378;2
2324;;24/10/2015;360740;True;idsoftwaresquake;2
2329;;25/12/2013;64000;True;76561198062924967;1
2338;;;270880;True;iConnor_;2
2339;;;271590;True;76561198093394236;2
2343;;16/11/2013;440;True;76561198091938654;1
2345;;23/09/2014;200210;True;76561198045421572;2
2360;;;264710;True;maketeanotwar;2
2370;;25/02/2015;218620;True;LeBovin;1
2376;;19/12/2013;231430;True;FunkMeister1;2
2386;;;223710;True;76561198079327998;1
2389;;01/07/2014;236090;True;76561198025199025;2
2390;;22/12/2013;570;True;jb2481;2
2413;;23/03/2013;10090;True;gatorgolfing;2
2416;;;207610;True;76561198067352691;2
2434;;;304930;True;76561198202329564;2
2446;;;230410;True;GiBaPEzLife;1
2453;;;242860;True;76561198095945803;1
2457;;20/07/2015;34900;False;76561198075871336;2
2462;;29/06/2015;333930;False;76561198071445832;2
2470;;15/06/2015;261640;True;Gterrestrial;2
2476;;01/01/2014;221100;True;gothamsavior24;1
2483;;;107410;True;76561198149213236;2
2494;1 person found this review funny;02/12/2015;273350;True;76561197996156672;1
2500;;19/07/2012;39000;True;GREENMAN41;1
2513;;;4000;True;greyson_4450;2
2528;;01/11/2014;4000;True;TheWaterGod;1
2531;;01/08/2014;304930;True;sphix;1
2533;;18/09/2014;107100;True;guhou;2
2534;;;730;True;GuihZito;2
2542;;27/11/2014;219740;True;Habbyman;1
2545;1 person found this review funny;22/12/2015;730;True;Haelnorr;1
2554;;;301200;True;76561198299095634;2
2557;;17/10/2015;208090;True;76561198074079694;2
2560;;16/06/2012;440;True;Halio99;2
2571;;;268650;True;hand0fcthulhu;2
2572;;22/12/2014;248570;True;hand0fcthulhu;1
2581;;01/04/2015;4000;True;76561198080881484;2
2589;2 people found this review funny;24/04/2015;322170;True;OfficialRagey;0
2595;;13/07/2015;35140;True;xxxkennySopxxx;2
2596;;21/06/2015;49520;True;xxxkennySopxxx;2
2612;;;498240;True;DeliciousPuddin;2
2636;;09/09/2014;4000;True;76561198066734993;2
2640;;;330350;True;Nzatz;2
2651;;12/05/2014;72850;True;hecaton_john;2
2667;;17/02/2015;730;True;imsufferingkillme;2
2669;1 person found this review funny;20/03/2015;224540;False;hellotherem8;1
2672;;24/10/2011;550;True;henrydxb;1
2677;;12/10/2014;312210;True;76561198059990081;2
2708;;04/01/2015;224260;True;76561198123074348;2
2713;;06/12/2014;236450;True;76561198123074348;2
2732;1 person found this review funny;18/06/2015;206190;True;Hollowfun;1
2739;;19/10/2015;105600;True;holyswifter;2
2743;;29/08/2014;209000;True;WildCheese;2
2746;1 person found this review funny;03/03/2014;218620;True;76561198079621961;1
2760;1 person found this review funny;03/01/2015;4550;True;IrishNZ;2
2767;;31/05/2014;242760;True;kylesimmonds;2
2768;;31/05/2014;263440;True;kylesimmonds;1
2780;;13/07/2014;304930;True;HostileTemper;2
2782;;09/06/2015;8870;True;beefiest;2
2783;1 person found this review funny;;730;True;b167er;2
2798;1 person found this review funny;;379720;True;offlinebyourmine;0
2800;2 people found this review funny;09/01/2015;41300;True;HunkHogan69;2
2802;;08/06/2012;105600;True;76561198062884956;2
2806;;07/12/2015;214950;False;76561198009498722;2
2811;;26/04/2015;222900;True;poopeepeepoo;1
2812;;01/05/2015;207230;False;poopeepeepoo;1
2822;1 person found this review funny;;200210;True;tickets845;2
2832;;12/02/2014;208090;True;pudjapu;2
2838;;15/02/2015;221380;True;ian_ramsay;2
2840;1 person found this review funny;;402570;True;76561198071526072;2
2845;;;275850;False;nicholasd7;0
2848;;15/03/2015;261570;True;76561197990772718;2
2859;;;252950;True;FireInLatin;1
2860;;;250760;True;FireInLatin;1
2870;;17/01/2015;264140;False;76561198068085433;0
2881;;;312210;True;Illuminutter;0
2882;;;427520;True;Illuminutter;2
2883;1 person found this review funny;07/09/2015;570;True;CancerCure;1
2885;;10/01/2014;218620;True;ImSeriouss;2
2897;;29/01/2014;570;True;76561198066760486;2
2902;;25/10/2015;218620;False;staecrh;1
2906;3 people found this review funny;;301520;False;Infinitespeed;2
2908;;;322170;True;Infinitespeed;2
2914;;16/07/2014;200210;True;76561198088860621;0
2919;;18/08/2015;264200;True;76561198041240181;1
2930;;09/06/2014;242760;True;76561198066084140;2
2931;;03/12/2014;47810;True;76561198066084140;0
2934;2 people found this review funny;;253710;False;alexisbest25;1
2938;;;393380;True;iSkulz;2
2946;;28/03/2015;223470;True;ysarge;1
2948;;15/03/2013;730;True;ysarge;2
2949;;26/09/2012;440;True;ysarge;0
2968;;02/11/2015;323470;True;iVoltGaming;2
2972;;;429570;True;iVoltGaming;1
2974;1 person found this review funny;06/10/2014;4000;True;76561198047273546;2
2979;4 people found this review funny;;204300;True;ironcass;2
2986;;24/09/2014;233840;True;JosephBarrett;2
2998;;27/04/2013;440;True;jadaik;1
2999;;;201810;True;76561198021364449;2
3003;;20/01/2015;208090;True;76561198099036584;2
3012;;20/01/2015;204372;True;76561198027305355;2
3020;;;363970;True;JarpsAU;2
3024;;;266390;True;jarvisnumbanine;2
3029;;;402020;False;jawdoe;0
3033;;11/05/2014;252490;True;jawdoe;2
3037;1 person found this review funny;10/05/2014;105600;False;76561198055262214;0
3048;1 person found this review funny;03/11/2014;221640;True;idonothack;1
3052;;12/04/2014;236090;True;76561198062417966;2
3062;5 people found this review funny;28/02/2015;297810;False;76561198052516862;0
3066;;12/04/2014;226700;True;xexilex;0
3070;;;252490;False;NotVengeance;1
3111;;22/07/2014;304930;True;76561198055887918;2
3112;;25/04/2014;220240;True;boazegevski;1
3119;;19/12/2014;250180;True;Jonaleko;0
3122;;;4000;True;mistersicklad483759;1
3130;1 person found this review funny;19/01/2015;295110;False;76561198077432581;0
3139;;03/05/2015;298110;True;THEHITMONKEY;2
3140;;27/12/2014;570;True;76561198046170033;1
3147;1 person found this review funny;;232090;True;JunG00berfuckingsucks;1
3155;;21/04/2014;239220;True;76561198036171355;2
3157;;18/12/2013;8190;True;76561198036171355;2
3160;1 person found this review funny;09/11/2015;311210;True;mrpoo2;1
3162;;29/11/2013;240;True;mrpoo2;2
3172;;11/11/2014;212500;True;ducksswamp;2
3173;;11/04/2014;212680;True;ducksswamp;2
3181;1 person found this review funny;23/09/2015;391540;True;prettyhm02forawhiteguy;2
3182;;28/02/2014;249050;True;prettyhm02forawhiteguy;2
3207;;;225540;True;TheKazimir;2
3213;;14/01/2015;4000;True;76561198065764432;2
3214;;30/12/2012;1250;True;76561198065764432;0
3219;;27/01/2014;105600;True;keino_;2
3221;;20/02/2014;107410;True;54Strat;2
3223;2 people found this review funny;24/09/2015;283290;True;765611979902442O1;2
3225;1 person found this review funny;01/03/2015;440;True;765611979902442O1;2
3228;1 person found this review funny;;374320;True;76561198097795611;0
3233;;;434570;True;Delicous_Cookies;1
3239;;22/07/2014;261030;True;76561198105473254;1
3265;;10/03/2015;440;True;Killerkalf;2
3277;;15/12/2015;730;True;JusicTheGod;2
3286;1 person found this review funny;22/05/2014;248570;True;Snoresville;1
3290;;13/02/2014;13140;False;TheKiwiMantis;1
3297;;28/11/2013;218620;True;TheKiwiMantis;1
3301;;;6000;True;Knight-Silver;2
3302;;23/02/2014;19830;True;76561198044619788;2
3327;;25/01/2013;20920;True;76561197970812298;2
3334;;;233860;True;76561198025499996;2
3344;3 people found this review funny;29/12/2014;13230;True;drkritisch;2
3346;;21/01/2015;332800;True;drkritisch;1
3354;;04/06/2014;246280;False;AsusGamerHD;1
3356;;02/09/2014;313340;True;kuroTENSHI_bread;2
3361;;31/07/2014;304930;False;YOLO-MCSWAGINGS;2
3379;;;4000;True;lachie222;1
3384;;28/12/2015;417860;True;thatonelonelyguy;2
3385;;17/11/2015;252490;True;negao22cm;1
3388;;14/03/2013;440;True;lainkelnuv;1
3394;;12/07/2012;500;True;MMR_Assasin;2
3399;;12/06/2015;304930;True;76561198080125105;2
3405;;11/11/2013;219830;True;LaughingRobot;2
3409;1 person found this review funny;29/06/2014;226700;True;NUZXD;1
3413;;30/08/2014;4000;True;nchavezzzzz;1
3415;;16/07/2013;200710;True;leadbman;2
3418;;15/07/2013;219150;True;leadbman;2
3419;;03/08/2014;4000;True;Officer_Bathtub;1
3429;3 people found this review funny;28/12/2013;113200;True;76561198043892035;2
3430;;01/11/2014;105600;True;Opal_mine;2
3435;;28/11/2015;238960;True;76561198020449132;1
3438;;08/07/2015;72850;True;Thelugomes;1
3440;;22/07/2014;248310;True;ultimax10;2
3451;1 person found this review funny;20/02/2015;730;True;76561198130025891;0
3463;11 people found this review funny;;431770;True;teamrobo;1
3474;;17/07/2014;304930;True;76561198071599137;2
3488;;24/06/2015;211600;True;Lickidactyl;1
3490;;09/07/2015;238090;True;Lickidactyl;2
3491;1 person found this review funny;24/06/2015;6910;True;Lickidactyl;0
3517;1 person found this review funny;07/09/2014;236430;True;LionBrito;0
3519;;24/12/2014;304410;True;76561198046807777;1
3522;3 people found this review funny;;107410;True;companothemuslim;1
3524;;21/09/2015;10500;True;companothemuslim;0
3536;;06/06/2015;313080;True;lewisbigd;0
3546;;11/09/2015;730;True;23184798;2
3547;;08/02/2015;9900;True;lNightlRaven;2
3550;;18/12/2014;208140;True;76561198047489572;0
3557;;29/07/2011;400;True;Lochstar12;2
3561;;;441870;False;logokas;2
3566;;;440;True;NotSniperMainMr;1
3593;1 person found this review funny;03/10/2015;299360;False;lordoftheguppies;2
3595;;09/05/2014;440;True;you_re_ded;0
3596;;03/05/2015;348620;True;you_re_ded;2
3603;;03/05/2015;1250;True;you_re_ded;1
3605;;;248610;True;LordDomin8r;1
3615;;;730;True;lulzley;1
3620;;19/05/2014;219740;True;76561198095766418;2
3629;;16/08/2014;301520;True;76561198070410552;1
3631;;19/02/2015;238240;False;Achronax;2
